,리뷰,메뉴
301,교촌원래닭이작은건알고있지만튀김도딱딱하고닭에살이너무없음ㅡ대조점이랑역촌점다튼데는그나마통통하던데여기닭은껍질밖에없고말라비틀어짐,"반반오리지날/1,레드디핑소스/4"
302,신메뉴 허니순살 기대이상으로 맛있었어요~~^^ 근데 교촌오리지널은 넘 바짝 튀기셨는지..ㅠ살이 넘 딱딱하고 질겨서 반은 남기고버렸어요ㅠ아까운 내치킨..ㅠ배달두 1시간이상..,"교촌오리지날/1,허니순살[R]/1"
303,진짜 ㅇ레드콤보 제 인생치킨 ㅜㅜㅜ,레드콤보/1(세트 선택(웨지감자（세트）))
304,배달도 ㅃㅏ르고 잘먹었습니다,"허니콤보/1(세트 선택(선택안함)),레드디핑소스/2"
305,Gooooooood,레드윙/1(세트 선택(허니순살[S]))
306,1시간이나 걸렸지만 맛있었어용,허니순살[R]/1(세트 선택(선택안함))
307,허니를 먹어보고 싶은데 레드윙이 너무 맛있어서 ㅠ 매번 고민. 그치만 레드윙이 진리,레드윙/1(세트 선택(선택안함))
308,맛있어요,반반오리지날/1(세트 선택(선택안함))
309,맛있어요. 항상 주문합니다.,반반윙/1(세트 선택(선택안함))
310,애들이 좋아하는 메뉴 잘먹었어요 짤쪼름 오리지널에 바삭한 살살치킨 맛나요,"교촌오리지날/1(세트 선택(선택안함)),살살치킨/1(세트 선택(선택안함))"
311,허니콤보 처음 먹어봤는데 너무 맛있었어요ㅠ배달도 빨랐습니다!,허니콤보/1(세트 선택(웨지감자（세트）))
312,맛있어요 또 주문할께요,"허니순살[R]/1(세트 선택(선택안함)),허니갈릭소스/1"
313,맛있게 잘먹었습니다....,교촌윙/1(세트 선택(허니순살[S]))
314,굿굿 맛있어요 샐러드드래싱 오렌지가 좋은데ㅠ,레드윙/1(세트 선택(교촌샐러드（세트）))
315,너무너무맛있어요🥔🥔🍠🍠🥐🥐,교촌콤보/1(세트 선택(선택안함))
316,맛있게 먹었습니당!!!,허니콤보/1(세트 선택(선택안함))
317,항항 먹어요~~^^ 윙 반반이 진리,반반윙/1(세트 선택(선택안함))
318,맛있게 잘먹었습니다,반반오리지날/1(세트 선택(선택안함))
319,Gooooooood,레드윙/1(세트 선택(허니순살[S]))
