,리뷰,메뉴
133,요즘 맛있어서 가끔 시켜 먹는데 배달은 너무너무 오래걸려요,"핫후라이드 치킨/1(사이드메뉴 추가(매운양념소스 추가),맛 선택(후라이드 한마리)),무 추가/1"
134,원래 자주애용해요~~,후라이드 치킨/1(사이드메뉴 추가(콜라 사이즈 업))
135,너무 맛나게 먹었어요.짜지도 않고 직접 만듬(무)가 맛있네요.,후라이드 치킨/1(맛 선택(후라이드 한마리))
136,배달도 빨리오고 맛있음,핫후라이드 치킨/1(맛 선택(후라이드 한마리))
137,항상 맛있네요! 번창하세요!!!,순살 치킨/1(맛 선택(간장＋양념))
138,맛있게 먹었습니다~~,핫순살 치킨/1(맛 선택(후라이드 한마리))
139,진짜 자담이 이 일대 최고ㅠㅠ,순살 치킨/1(맛 선택(후라이드＋양념))
140,배달 빠르고 맛있습니다.,후라이드 치킨/1(맛 선택(양념 한마리))
141,치킨이 뜨겁게 와서 진짜 좋았습니다!!! 맛있어요!,후라이드 치킨/1(맛 선택(후라이드＋양념))
142,ㄱㄴㅂㅈㅂㄷㅂㄷ그ㄱㄷ,순살 치킨/1(맛 선택(후라이드＋양념))
143,맛있게 잘 먹었습니다.,"후라이드 치킨/1(사이드메뉴 추가(양념소스 추가),맛 선택(후라이드 한마리))"
144,처음 시켜봤는데 맛있네요,순살 치킨/1(맛 선택(후라이드＋양념))
145,세시간 기다린 치킨..ㅎㅏ...,후라이드 치킨/1
146,2시간전에 주문을 햇는데 아직 도착도 안하고 전화해도 안받고 뭐 어쩌라는건지;; 대체 일을 어떻게 하는건지 오늘안으로 오긴 오나?,핫순살 치킨/1(맛 선택(후라이드＋양념))
147,와 무슨 치킨 하나 먹는데 3시간이 걸리나요? 3시간도 제가 2시간쯤에 너무 배달이 와서 제가전화해서 물어봐야오고 전화받는분이나 배달하는분이나 늦어서 미안하다는 말 한마디도없고 너무실망이에요.........,후라이드 치킨/1(맛 선택(후라이드 한마리))
148,너무너무 맛나게잘먹었어요 ㅎㅎ,핫순살 치킨/1(맛 선택(후라이드＋양념))
149,최고에요~맛도 좋고 배달도 빠르네요,후라이드 치킨/1
150,배달은 느렸어요.. 그치만 이해해요 맛은 있어요 맛보지 못한 맛이네요! 근데 튀김옷이 많고.. 기름이 너무 많아요,핫후라이드 치킨/1(맛 선택(후라이드＋간장))
151,오늘은 자극적인 매운맛이 땡겨서 시켜봤는데... 제입맛에는 달기만 하네요,순살강정치킨/1(매운맛 선택(매운맛))
152,바삭바삭하고 살도 부드러워서 맛있었습니다. 다음에 또 주문할거 같아요,핫후라이드 치킨/1(맛 선택(후라이드 한마리))
153,와 자담치킨 처음 시켜보는데 축구 때문에 늦을까봐 일찍 시켰는데 75분 걸린다고 카톡 왔는데 30분 만에 왔어요!!!!! 제가 집에 도착 못해서 배달하시는 분 전화왔는데 말투 목소리까지 친절하시고ㅠㅠㅠ 퍽퍽살 싫어하는데 순살 닭다리살이네요 넘 조아요 핫후라이드 바삭바삭하고 매콤하고ㅠㅠㅠ양념도 달달하고 바삭하고 넘 맛있네요.....자주 시켜먹을께요!!!!!,핫순살 치킨/1(맛 선택(후라이드＋양념))
154,"맨날 치즈, 허니 이런것만 시키다가 자담치킨 처음먹고 매우 만족했습니다 믿고 시켜보시오",후라이드 치킨/1(맛 선택(간장＋양념))
155,오늘은 뭔가 기존보다 덜매웠던 것 같아요 그래도 맛있게 잘먹었습니다,핫후라이드 치킨/1(맛 선택(후라이드 한마리))
156,간장맛있어요!!추너추천,순살 치킨/1(맛 선택(간장＋양념))
157,맛있어요~~항상 잘먹고있습니다 좋은 닭을 써서그런지 닭고기도 맛있어요,"후라이드 치킨/1(사이드메뉴 추가(매운양념소스 추가,마늘소스 추가))"
158,내 최애 치킨집.. 같이 늙자,순살 핫바베큐/1(매운맛 선택(매운맛))
159,빠삭빠삭한 치킨의 맛! 감튀가 조금 덜 튀겨졌으면 좋겠어용,"순살 치킨/1(맛 선택(후라이드 한마리)),무 추가/1,코카콜라 1.25L/1"
160,후라이드 양념 반반 시켜먹었습니다! 기본기에 충실한 맛이었습니다. 오랜만에 치킨다운 치킨 기분 좋게 먹었네요 :) 감자튀김의 조합도 역시 최고였습니다👍,후라이드 치킨/1(맛 선택(후라이드＋양념))
161,너무맛있어요 양도많고 다음날어 먹어도 맛있어요:),후라이드 치킨/1(맛 선택(후라이드 한마리))
162,맛있게 잘 먹었어요,후라이드 치킨/1(맛 선택(후라이드＋간장))
163,쿠폰주길래 치킨둘러보다 자담 후기가 좋길래 먹어봤는데 진짜!!!튀김 엄청 바삭한데요?!?!?!배달두 빨랐어요★ 고기두 퍼석살아닌 부드러운살!하하하ㅏㅎ,순살 치킨/1(맛 선택(간장＋허니버터))
164,이벤트 중인데도 배달 완전 빠르고 양도 많고 엄청 맛있었어요! 요근래 먹은 치킨 중에 최고! 다음에도 또 시켜먹겠습니다,후라이드 치킨/1(맛 선택(후라이드 한마리))
165,맛도좋고 양도 많습니다. 배불러서 하나가지고 아침에도 ㅓㄱ고있네요,순살 치킨/1(맛 선택(양념 한마리))
166,중복에도 역쉬 치킨! 또 시켜먹을게용!,"핫순살 치킨/1(사이드메뉴 추가(콜라 사이즈 업),맛 선택(후라이드＋마늘))"
167,치킨중에 젤맛있어요!!!,순살 치킨/1(맛 선택(간장＋양념))
168,맛있게 잘 먹었습니다,"순살강정치킨/1(매운맛 선택(순한맛),사이드메뉴 추가(콜라 사이즈 업))"
169,후라이드 젤 존맛이에요,"후라이드 치킨/1(사이드메뉴 추가(양념소스 추가,매운양념소스 추가),맛 선택(후라이드 한마리))"
170,맛았어요~ 살코기 쫀쫀!!! 감자도 맛있음,핫순살 치킨/1(맛 선택(후라이드＋양념))
