,리뷰,메뉴
30,배달도빠르고좋습니다,"핫크리스피치킨 1조각/4,코울슬로/2"
31,블랙라벨 치킨상태가 너무 .. 닭자체에서 냄새가 심하고 튀긴정도도 심하고 먹다버렸음,"갓양념치킨 1조각/1,블랙라벨치킨 1조각/1,핫크리스피치킨 1조각/1,오리지널치킨 1조각/1,닭똥집튀김/1"
32,밧있덨음홓ㅎㅎㅎㅎㅎ,블랙라벨치킨 1조각/5
33,싸게 잘 먹었어요 축구보면서 ㅎ,"갓양념치킨 1조각/3,핫크리스피치킨 1조각/2"
34,정말 맛있었어요ㅎㅎ,Best 치킨팩/1
35,너무 맛있게 잘 먹었습니다,"갓양념치킨 1조각/3,핫크리스피치킨 1조각/3"
36,배달 2시간 35분 걸렸어요 1시간 반 됐을 때 매장에 전화했더니 출발했다고 해서 취소 안했는데 그 후로 1시간 더 걸림,"핫크리스피치킨 1조각/2,오리지널치킨 1조각/1,NEW 징거더블다운맥스/1"
37,맛있어요 .....,"블랙라벨치킨 1조각/1,핫윙 2조각/1,올쉐킷치즈/1,롱치즈스틱/2,코크제로/1"
38,입니다 ㅡㅡㅡㅜㅜㅜㅜㅜ 배달 겁나 늦음 심지어 하나 빼놓고온거 다시 바로 갖다준다더니한시간 걸림;맛은좋지;근대 총 2시간 기다림 ㅡㅡ,"핫칠리씨치킨1조각/1,갓양념치킨 1조각/1,콘타르트/1,에그타르트/1,후렌치후라이（M）/1,비스켓/1,콘샐러드/1"
39,맛있게 잘 먹었습니다~,"핫크리스피치킨 4조각/1,NEW 징거버거/1,트위스터/1,콘샐러드/1"
40,치킨 부위도 골고루 야무지게 담아 주시고 배달도 빨라 좋아요,"핫크리스피치킨 4조각/1,NEW 징거버거/1,트위스터/1,콘샐러드/1"
41,어제 태풍때문에 늦긴했지만 그리고 정신없어서 치즈스틱을 빼먹으셨지만 다시 주셨어여 2 개나 먹었어요 홍대kfc 를 저녁늦게갈때도있는데 그래도 그중!!열심히하시는 분이 계세요 그래서 응원!!!,"핫크리스피치킨 1조각/1,오리지널치킨 1조각/2,트위스터세트/1(사이드변경(후렌치후라이),음료변경(코크제로교환)),롱치즈스틱/1"
42,좋아요! 맛있어요!,"갓양념치킨 1조각/1,블랙라벨치킨 1조각/1,트위스터/1,비스켓/1,스위트칠리소스/4,캔콜라/1"
43,지금 여기 평점창 왜 난리났는지 사진에 정리해서 썼어요. 요기요 진심으로 실망했으며 앞으로 다시는 이용하지 않겠습니다.,"갓양념치킨 1조각/1,블랙라벨치킨 1조각/1,핫크리스피치킨 1조각/1,비스켓/1,코울슬로/2"
44,2시간10분걸림 태풍인 날이였지만 태풍 다 지나가고 비도 안오는데 배달 시간 너무 심각 왔는데 콜라안옴ㅋㅋㅋㅋㅋ전화 5번 했는데 안받음 헴버거 던질라다가 참음 전화 받아서 콜라 가져달라했음 끝,"핫크리스피치킨 1조각/2,오리지널타워버거 세트/1(사이드변경(후렌치후라이),음료변경(콜라)),콘샐러드/1"
45,두시간 지났어요 뭐라 설명해야되죠 이걸 ? 취소를시켜주던가,"New 치킨도버거도팩/1,롱치즈스틱/1,후렌치후라이（L）/1,코울슬로/1"
46,뭐가 와야 맛이든 뭐든 평가를 하지요? 1시간 반이 지났는데.. 주문한 음식이 오지를 않네요.,"갓양념치킨 1조각/1,블랙라벨치킨 1조각/1,핫크리스피치킨 1조각/1,오리지널치킨 1조각/1,코울슬로/1,콘샐러드/1"
47,콜센터 직원은 배째라 본점은 전화선을 빼셨나 쳐조시나 안받고 심야 배달씹가능이라고하고 뭐하는 짓이냐 이게. 다신 안시킨다 진짜. The Call center staff doesnt know if the delivery departed or not and they dont have any idea about the situation going on. I regret my decision and hope other people dont order from here.,핫크리스피치킨 버켓세트/1
48,맛이고 양이고 배달시켰더니 서비스 중이 아니라하고 매장전화는 안받고 kfc콜센터 직원은 받지도 않는 전번 던져주고 배째라는식으로 나오고 요기요는 고객센터 전화 돌려버렸네? 이야 3박자 오졌다 진짜 다시는 안시켜먹음,"갓양념치킨 1조각/4,NEW 징거버거세트/1(사이드변경(후렌치후라이（L）교환),음료변경(코크제로교환))"
49,치킨시켰는데 다 식어서 오네요,"치킨불고기버거세트/1(사이드변경(후렌치후라이),음료변경(콜라)),텐더스트립스 8조각/1"
50,맛이 좀.. 그래요.. 아마 배달 넘 늦게 와서 그런지.. 거의1.2시간.. ㅠㅠ,오리지널치킨 버켓세트/1
51,깔끔하고좋았어요ㅎㅎ,"갓양념치킨 1조각/1,블랙라벨치킨 1조각/1,핫크리스피치킨 1조각/1,NEW 징거버거세트/1(사이드변경(후렌치후라이),음료변경(콜라))"
52,최악 다시는 안먹음,"핫칠리씨치킨1조각/1,갓양념치킨 1조각/1,블랙라벨치킨 1조각/1,핫크리스피치킨 1조각/1,오리지널치킨 1조각/1,콘샐러드/1"
53,맛있게 잘먹었습니다,"갓양념치킨 1조각/2,핫크리스피치킨 1조각/3,오리지널치킨 1조각/1"
54,아 배불러 양념 첨 먹어봐요 맛있네요 예상시간보다 빨리 왔어요 아 배불러 아 배불러 아 배불러 아 배불러 아 존ㅡ나 배불러,"갓양념치킨 1조각/1,블랙라벨치킨 1조각/1,핫크리스피치킨 1조각/1,트위스터세트/1(사이드변경(후렌치후라이),음료변경(콜라)),스위트칠리소스/2"
55,스콩이 아주뜨겁게 와서졸아요,"블랙라벨클래식버거세트/1(사이드변경(후렌치후라이),음료변경(코크제로교환)),에그타르트/1,비스켓/2"
56,배고픈 새벽에 정말 맛있게 잘 먹었어요,"Best 치킨팩/1,코울슬로/2,코크제로/1"
57,배달도 빠르고 맛있습니다,"갓양념치킨 1조각/1,NEW 징거더블다운맥스세트/1(사이드변경(치킨너겟 4조각교환),음료변경(콜라)),NEW 타워버거/1,스위트칠리소스/1"
58,새로나온 치킨도 먹었는데 kfc양념치킨 중에는 제일 맛있어요,"핫칠리씨치킨1조각/1,블랙라벨치킨 1조각/2,블랙라벨 에그타워버거세트/1"
59,배달 빠름!!!! 따뜻하게옴 근데 심야다 보니 덜 바삭함 어쩔수없음,"갓양념치킨 1조각/1,블랙라벨치킨 1조각/1,핫크리스피치킨 1조각/1,트위스터세트/1(사이드변경(후렌치후라이),음료변경(코크제로교환)),비스켓/1"
60,배달이 빠르고 치킨 나이트 이벤트도 좋아요,"핫크리스피치킨 1조각/3,오리지널치킨 1조각/3"
61,이렇게 차가운 치킨은 난생처음 먹어봅니다 배달업체 문제건 뭐건간에 다시 시킬 일은 없다고 단언 합니다,갓양념치킨 8조각/1
62,배달기사분 빠르고 친절해요,"핫크리스피치킨 1조각/2,오리지널치킨 1조각/2,NEW 징거버거/1"
63,1시간 50분 기다렸고 음식살짝식었었어요,"블랙라벨클래식버거세트/1(사이드변경(후렌치후라이（L）교환),음료변경(콜라)),치킨너겟 6조각/1,비스켓/1,버터/1"
64,맛있음. KFC 치킨은 딱 6조각까지가 맛있다. 더 먹으면 질림. 비스켓 맛있음.,"갓양념치킨 1조각/1,블랙라벨치킨 1조각/1,오리지널치킨 1조각/1,후렌치후라이（L）/1,비스켓/1,올쉐킷치즈시즈닝/1,캔콜라/1"
