,리뷰,메뉴
124,좀 늦게 나갔더니 귀가 안들리냐고 물어보네요 . 다시는 안시키겠습니다.,"페파로니 피자 M/1(M사이즈 추가선택(골드추가)),스프라이트 500mL/1"
125,도우도 얇고 피자 엄청 맛있어요. 스파게티랑 치즈스틱도 강추!,"SET2（명품오리지널피자 L＋버팔로윙 5개 or 치즈스틱 5개＋치즈오븐스파게티＋콜라 1.25L）/1(SET메뉴 피자선택(포테이토피자L),추가 선택(치즈스틱5개))"
126,다시 시켜 먹게되네요. 치즈가 듬뿍,슈퍼슈프림 피자 L/1
127,맛있게 잘먹었습니다,SET1（명품오리지널피자 L＋치즈스틱 5개＋버팔로윙 5개＋콜라 1.25L）/1(SET메뉴 피자선택(슈퍼슈프림피자L))
128,맛있게 잘 먹었어요 :),SET7（명품오리지널크러스트L＋치즈스틱 5개＋버팔로윙 5개＋콜라 1.25L）/1(명품 오리지널크러스트 선택(슈퍼슈프림 피자L))
129,굳,"슈퍼슈프림 피자 L/1,치즈오븐스파게티/1,콜라 500mL/1"
130,피자는 물론이고 스파게티의 비주얼과 맛에 놀람!,"SET2（명품오리지널피자 L＋버팔로윙 5개 or 치즈스틱 5개＋치즈오븐스파게티＋콜라 1.25L）/1(SET메뉴 피자선택(치킨바베큐피자L),추가 선택(버팔로윙5개))"
131,피자 좋아해서 진짜 많이먹는데 여기는 처음 주문해봤거든요 큰기대없었는데 완전 맛있어요 동네피자집 가끔 치즈 싼거써서 뚝뚝 끊기는데 여기는 쭉쭉 완전 잘 늘어남ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 짜지도않구 담백해요.진짜 만족합니당 기사님도 친절하셨어요!,슈퍼슈프림 피자 M/1
132,맛있네요 양도 많고 배달도 빠르네요 번창하세요~,대박세트（오리지널크러스트 L＋치즈오븐스파게티＋콜라 1.25L）/1(명품 오리지널크러스트 선택(페파로니 피자L))
133,배달 조금 걸렸지만 그만큼 걸린다고 나와있어서 대비해서 빨리 시킬 수 있었어용!! 맛은 당연히 맛있었어요!!,"포테이토 피자 L/1(L사이즈 추가선택(골드추가)),콜라 500mL/1"
134,굳,"슈퍼슈프림 피자 L/1,버팔로윙 5개/1"
135,맛있어요♡ 양도많고 좋아요,대박세트（오리지널크러스트 L＋치즈오븐스파게티＋콜라 1.25L）/1(명품 오리지널크러스트 선택(슈퍼슈프림 피자L))
136,굳,"슈퍼슈프림 피자 M/1,치즈오븐스파게티/1,감자튀김/1,버팔로윙 5개/1"
137,스파게티도 맛있고 피자도 너무 좋아요,대박세트（오리지널크러스트 L＋치즈오븐스파게티＋콜라 1.25L）/1(명품 오리지널크러스트 선택(포테이토 피자L))
138,배달은 정확한 시간에 왔고 너무 맛있네요~!,
139,굳,"슈퍼슈프림 피자 L/1,치즈오븐스파게티/1"
140,맛있어요 사장님 친절하시고 따뜻하게 잘 줍니다,"페파로니 피자 L/1(L사이즈 추가선택(치즈크러스트 추가)),갈릭디핑소스/2,스프라이트 1.5L/1"
141,~맛~~있어여~~~~,불고기 피자 M/1
142,치즈 크러스터 추가했더니 정말 몇개 안먹어도 한끼되네요,슈퍼슈프림 피자 L/1(L사이즈 추가선택(치즈크러스트 추가))
143,맛있습니다 빠르고 친절한 배달 감사합니다,"슈퍼슈프림 피자 L/1,치즈스틱 10개/1,통살치킨칩 8개/1"
144,꿀맛입니다 가격 대비 만족~,"슈퍼슈프림 피자 M/1,치즈오븐스파게티/1,콜라 500mL/1"
145,미디움이라 한번에 다 먹을줄 알았는데 치즈가 많아서 그런지 4조각만 먹어도 배 부르네요. 치즈가 많아서 참 좋았습니다. 그리고 다른곳과 달리 갈릭디핑소스가 하나 기본으로 들어가는점도 좋네요. 잘먹었습니다.,"포테이토 피자 M/1,갈릭디핑소스/1,피클/1"
146,배달빠르고 맛있어요 추천요~,"슈퍼슈프림 피자 M/1,치즈오븐스파게티/1,감자튀김/1"
147,배달빠르고 좋아요 ㅎ,"슈퍼슈프림 피자 M/1(M사이즈 추가선택(씬도우 추가)),감자튀김/1"
148,양도 많고 빨리 오고 메뉴가 많아 선택하기에 좋습니다~,핫치킨 피자 M/1(M사이즈 추가선택(치즈추가))
149,고르곤졸라.... 너무 실패에요,"고르곤졸라피자 M/1(M사이즈 추가선택(치즈크러스트 추가)),버팔로윙 5개/1,콜라 500mL/1"
150,고르곤졸라는 조금 실패했어요...,"고르곤졸라피자 L/1,치즈오븐스파게티/1"
151,맛있게 잘 먹었어요~,"핫치킨 피자 M/1(M사이즈 추가선택(치즈크러스트 추가)),버팔로윙 5개/1"
